iso;country;language;level;type;name;region1;region2;region3;region4;iso2;fips;nuts;hasc;stat
AD;Andorra;CA;0;Country;Andorra;-;-;-;-;;;;;
AD;Andorra;CA;1;Parroquies;Andorra La Vella;Andorra La Vella;-;-;-;AD-07;AN07;;AD.AN;5
AD;Andorra;CA;1;Parroquies;Canillo;Canillo;-;-;-;AD-02;AN02;;AD.CA;1
AD;Andorra;CA;1;Parroquies;Encamp;Encamp;-;-;-;AD-03;AN03;;AD.EN;2
AD;Andorra;CA;1;Parroquies;Escaldes-Engordany;Escaldes-Engordany;-;-;-;AD-08;AN08;;AD.EE;7
AD;Andorra;CA;1;Parroquies;La Massana;La Massana;-;-;-;AD-04;AN04;;AD.MA;4
AD;Andorra;CA;1;Parroquies;Ordino;Ordino;-;-;-;AD-05;AN05;;AD.OR;3
AD;Andorra;CA;1;Parroquies;Sant Julia de Loria;Sant Julia de Loria;-;-;-;AD-06;AN06;;AD.JL;6
